SID,WORD,POS,Context,
512,extract,v.,The dentist had to extract her wisdom tooth.,
513,extremist,n.,The extremist group was responsible for the violent attacks.,
514,facilitate,v.,Technology facilitates communication across the world.,
515,faction,n.,A small faction within the party opposed the new policy.,
516,faculty,n.,The university faculty voted to update the curriculum.,
517,fade,v.,The colors of the painting began to fade over time.,
518,fairness,n.,Everyone should be treated with fairness and respect.,
519,fatal,adj.,"The accident was fatal, claiming two lives.",
520,fate,n.,She believed that fate had brought them together.,
521,favorable,adj.,The weather forecast is favourable for our picnic tomorrow.,
522,feat,n.,Climbing Mount Everest is an incredible feat.,
523,feminist,adj.,She gave a powerful feminist speech at the conference.,
524,feminist,n.,She is a well-known feminist advocating for equal rights.,
525,fibre,n.,Whole grains are a good source of dietary fibre.,
526,fierce,adj.,There was a fierce competition between the two teams.,
527,film-maker,n.,The film-maker won an award for his documentary.,
528,filter,n.,The water filter removes impurities from tap water.,
529,filter,v.,You should filter the water before drinking it.,
530,fine,n.,He had to pay a fine for parking in the wrong spot.,
531,fine,v.,The company was fined for violating safety regulations.,
532,firearm,n.,He legally purchased a firearm for self-defense.,
533,fit,n.,The new shoes were a perfect fit for her feet.,
534,fixture,n.,The old chandelier is a permanent fixture in the historic building.,
535,flaw,n.,The design had a major flaw that needed to be fixed.,
536,flawed,adj.,"Despite his flawed reasoning, his argument was interesting.",
537,flee,v.,They had to flee the country due to the war.,
538,fleet,n.,The navy deployed a fleet of ships for the mission.,
539,flesh,n.,"He accidentally cut his finger, exposing the flesh.",
540,flexibility,n.,Flexibility in the workplace allows employees to work remotely.,
541,flourish,v.,The small business began to flourish after the new marketing strategy.,
542,fluid,n.,You need to drink plenty of fluid to stay hydrated.,
543,footage,n.,The security camera footage showed the suspect entering the building.,
544,foreigner,n.,"As a foreigner, she had to adjust to the new culture.",
545,forge,v.,They decided to forge an alliance with the neighboring country.,
546,formula,n.,The scientist developed a new formula for the vaccine.,
547,formulate,v.,The team worked together to formulate a strategy for the competition.,
548,forth,adv.,He stepped forth to accept the award.,
549,forthcoming,adj.,The author‚Äôs forthcoming book is highly anticipated.,
550,foster,v.,The program aims to foster creativity among students.,
551,fragile,adj.,"Be careful with that vase, it's very fragile.",
552,franchise,n.,He owns a fast-food franchise in the city.,
553,frankly,adv.,"Frankly, I don't think this plan will work.",
554,frustrated,adj.,She felt frustrated after failing the exam twice.,
555,frustrating,adj.,Waiting in long lines can be extremely frustrating.,
556,frustration,n.,He expressed his frustration with the slow internet speed.,
557,functional,adj.,The new design is both stylish and functional.,
558,fundraising,n.,The school organized a fundraising event for charity.,
559,funeral,n.,Family and friends gathered for his funeral.,
560,gallon,n.,The car's fuel tank can hold up to 15 gallons.,
561,gambling,n.,He lost a lot of money due to gambling addiction.,
562,gathering,n.,The family gathering was filled with laughter and joy.,
563,gaze,n.,Her gaze was fixed on the beautiful sunset.,
564,gaze,v.,"He gazed at the stars, lost in thought.",
565,gear,n.,The hikers packed their gear for the trip.,
566,generic,adj.,She bought a generic version of the expensive medication.,
567,genocide,n.,History has witnessed tragic cases of genocide.,
568,glance,n.,She gave him a quick glance before walking away.,
569,glance,v.,She glanced at her watch to check the time.,
570,glimpse,n.,He caught a glimpse of the celebrity at the airport.,
571,glorious,adj.,It was a glorious victory for the team.,
572,glory,n.,He dreamed of achieving glory as a professional athlete.,
573,governance,n.,Good governance is essential for a nation's progress.,
574,grace,n.,She moved with the grace of a ballet dancer.,
575,grasp,v.,She tried to grasp the meaning of the poem.,
576,grasp,n.,He has a strong grasp of mathematical concepts.,
577,grave,n.,They visited their grandfather's grave to pay respects.,
578,grave,adj.,"The situation was grave, requiring immediate attention.",
579,gravity,n.,The gravity of the situation became clear after the announcement.,
580,grid,n.,The city is built on a grid system of streets.,
581,grief,n.,She struggled to cope with the grief of losing a loved one.,
582,grin,v.,He grinned after hearing the good news.,
583,grin,n.,Her wide grin showed how happy she was.,
584,grind,v.,She used a stone to grind the spices into a fine powder.,
585,grip,n.,He tightened his grip on the handle to keep from falling.,
586,grip,v.,The movie gripped the audience from start to finish.,
587,gross,adj.,He found the sight of rotten food completely gross.,
588,guerrilla,n.,The guerrilla fighters launched a surprise attack at dawn.,
589,guidance,n.,She sought guidance from her mentor before making a decision.,
590,guilt,n.,He felt a deep sense of guilt after lying to his friend.,
591,gut,n.,He had a gut feeling that something was wrong.,
592,hail,v.,The crowd hailed the victorious team as heroes.,
593,halfway,adv.,We are halfway through the project and making good progress.,
594,halt,v.,The train suddenly halted due to an emergency.,
595,halt,n.,The unexpected storm brought the event to a sudden halt.,
596,handful,n.,She grabbed a handful of candies from the jar.,
597,handling,n.,Proper handling of fragile items is important to avoid damage.,
598,handy,adj.,This tool is very handy for fixing small household problems.,
599,harassment,n.,She reported the harassment to her supervisor immediately.,
600,hardware,n.,You need to upgrade your computer's hardware for better performance.,
601,harmony,n.,They lived together in perfect harmony despite their differences.,
602,harsh,adj.,The teacher's harsh words made the student feel embarrassed.,
603,harvest,n.,The farmers celebrated a successful harvest this year.,
604,harvest,v.,Farmers hope to harvest the wheat by early October.,
605,hatred,n.,There was deep hatred between the two rival groups.,
606,haunt,v.,The memory of the accident continued to haunt him.,
607,hazard,n.,Smoking is a major health hazard.,
608,heighten,v.,The movie's music heightened the suspense in the scene.,
609,heritage,n.,The festival is a celebration of cultural heritage.,
610,hierarchy,n.,The company follows a strict hierarchy in decision-making.,
611,high-profile,adj.,The celebrity's high-profile wedding was covered by major news outlets.,
612,hint,n.,She gave him a subtle hint about the surprise party.,
613,homeland,n.,"After many years abroad, he finally returned to his homeland.",
614,hook,v.,He hooked the fish on his line.,
615,hopeful,adj.,She remains hopeful about the future despite current difficulties.,
616,horizon,n.,The sun slowly disappeared beyond the horizon.,
617,horn,n.,The driver honked the horn to warn pedestrians.,
618,hostage,n.,The criminals took several people hostage during the robbery.,
619,hostile,adj.,The two countries have maintained a hostile relationship for decades.,
620,hostility,n.,There was clear hostility between the two political leaders.,
621,humanitarian,adj.,She works for a humanitarian organization that helps refugees.,
622,humanity,n.,Acts of kindness restore my faith in humanity.,
623,humble,adj.,"Despite his success, he remains humble and approachable.",
624,hydrogen,n.,Water is made up of hydrogen and oxygen molecules.,
625,identification,n.,You need proper identification to enter the secured area.,
626,ideological,adj.,The two political parties have strong ideological differences.,
627,ideology,n.,His ideology is based on principles of equality and fairness.,
628,idiot,n.,He called himself an idiot after making such a silly mistake.,
629,ignorance,n.,His ignorance about world affairs made him sound uninformed.,
630,imagery,n.,The poet used beautiful imagery to describe the sunset.,
631,immense,adj.,The athlete felt immense joy after winning the gold medal.,
632,imminent,adj.,"A major storm is imminent, so people are advised to stay indoors.",
633,implementation,n.,The implementation of the new policy improved workplace efficiency.,
634,imprison,v.,The activist was imprisoned for speaking against the government.,
635,imprisonment,n.,The judge sentenced him to three years of imprisonment.,
636,inability,n.,His inability to swim made him afraid of deep water.,
637,inadequate,adj.,The school's facilities were inadequate for the growing number of students.,
638,inappropriate,adj.,His joke was inappropriate for a formal meeting.,
639,incidence,n.,The incidence of flu cases has increased this winter.,
640,inclined,adj.,She was inclined to accept the job offer despite some concerns.,
641,inclusion,n.,The company promotes the inclusion of diverse employees.,
642,incur,v.,He had to incur a heavy fine for violating the traffic rules.,
643,indicator,n.,High unemployment rates are an indicator of economic trouble.,
644,indictment,n.,The politician faced an indictment for corruption.,
645,indigenous,adj.,The indigenous people of the region have lived there for centuries.,
646,induce,v.,Drinking too much coffee can induce sleep problems.,
647,indulge,v.,She likes to indulge in chocolate after a stressful day.,
648,inequality,n.,The gap between the rich and poor highlights social inequality.,
649,infamous,adj.,The dictator was infamous for his brutal leadership.,
650,infant,n.,The infant cried loudly throughout the night.,
651,infect,v.,A virus can easily infect people in crowded areas.,
652,inflict,v.,The storm inflicted severe damage on the coastal town.,
653,influential,adj.,She is one of the most influential scientists in the field of medicine.,
654,inherent,adj.,Risks are an inherent part of starting a new business.,
655,inhibit,v.,Shyness can inhibit a person from speaking in public.,
656,initiate,v.,The government plans to initiate a new education program.,
657,inject,v.,The doctor will inject the vaccine into the patient's arm.,
658,injection,n.,The child was afraid of getting a flu injection.,
659,injustice,n.,He dedicated his life to fighting social injustice.,
660,inmate,n.,The inmate was released after serving his sentence.,
661,insertion,n.,The insertion of a new paragraph improved the essay.,
662,insider,n.,An insider leaked confidential company information to the media.,
663,inspect,v.,The mechanic will inspect the car for any issues.,
664,inspection,n.,The restaurant passed the health and safety inspection.,
665,inspiration,n.,The artist found inspiration in nature.,
666,instinct,n.,Her motherly instinct told her something was wrong.,
667,institutional,adj.,Institutional reforms are necessary for long-term change.,
668,instruct,v.,The teacher will instruct the students on how to use the new software.,
669,instrumental,adj.,He was instrumental in the success of the project.,
670,insufficient,adj.,The evidence was insufficient to prove his guilt.,
671,insult,n.,He took her remark as an insult.,
672,insult,v.,It is rude to insult someone because of their appearance.,
673,intact,adj.,"Despite the earthquake, the building remained intact.",
674,intake,n.,You should monitor your daily calorie intake for better health.,
675,integral,adj.,Teamwork is an integral part of success in any organization.,
676,integrated,adj.,The new system is fully integrated with existing software.,
677,integration,n.,The integration of technology into education has transformed learning.,
678,integrity,n.,His integrity and honesty earned him great respect.,
679,intellectual,n.,"As an intellectual, he enjoys discussing philosophy and politics.",
680,intensify,v.,The storm is expected to intensify overnight.,
681,intensity,n.,The intensity of the earthquake was measured at 7.0 on the Richter scale.,
682,intensive,adj.,He took an intensive language course to improve his fluency.,
683,intent,n.,"His intent was to help, but his actions caused more harm than good.",
684,interactive,adj.,The new museum offers an interactive experience where visitors can touch and explore exhibits.,
685,interface,n.,The user-friendly interface makes the app easy to navigate.,
686,interfere,v.,Parents should not interfere too much in their children's personal decisions.,
687,interference,n.,"There was too much interference on the radio, making it hard to hear the news.",
688,interim,adj.,An interim manager was appointed while they searched for a permanent replacement.,
689,interior,adj.,The interior design of the café was cozy and inviting.,
690,intermediate,adj.,This textbook is suitable for students at an intermediate level of English.,
691,intervene,v.,The teacher had to intervene when the students started arguing.,
692,intervention,n.,The doctor's intervention saved the patient's life.,
693,intimate,adj.,They had an intimate dinner with just close friends and family.,
694,intriguing,adj.,The mystery novel had an intriguing plot that kept me hooked until the end.,
695,investigator,n.,The private investigator gathered evidence for the court case.,
696,invisible,adj.,Some bacteria are invisible to the human eye without a microscope.,
697,invoke,v.,He tried to invoke his right to remain silent during the interrogation.,
698,involvement,n.,Her involvement in community service helped her win the scholarship.,
699,ironic,adj.,It's ironic that the fire station burned down last night.,
700,ironically,adv.,"Ironically, the man who always advised others to be careful lost his wallet.",
701,irony,n.,The irony of the situation was that the fastest runner finished last.,
702,irrelevant,adj.,Your personal opinion is irrelevant to the facts of the case.,
703,isolation,n.,Many people struggled with feelings of isolation during the pandemic.,
704,judicial,adj.,The judicial system ensures that laws are applied fairly to everyone.,
705,junction,n.,Take the next right at the junction to reach the highway.,
706,jurisdiction,n.,This court has no jurisdiction over international cases.,
707,just,adj.,The judge made a just decision based on the evidence presented.,
708,justification,n.,She provided a strong justification for her late submission.,
709,kidnap,v.,The criminals planned to kidnap the wealthy businessman for ransom.,
710,kidney,n.,He had to undergo surgery to remove a damaged kidney.,
711,kingdom,n.,The lion is known as the king of the animal kingdom.,
712,lad,n.,The young lad helped his grandmother with the groceries.,
713,landlord,n.,The landlord increased the rent after renovating the building.,
714,landmark,n.,The Eiffel Tower is one of the most famous landmarks in the world.,
715,lap,n.,She ran five laps around the track as part of her workout.,
716,large-scale,adj.,A large-scale study was conducted to examine climate change effects.,
717,laser,n.,Doctors use laser technology for precise eye surgeries.,
718,latter,adj.,Between tea and coffee,
719,latter,n.,"The first half of the book was boring, but the latter part was more exciting.",
720,lawn,n.,He spent the afternoon mowing the lawn.,
721,lawsuit,n.,The company filed a lawsuit against its competitor for copyright infringement.,
722,layout,n.,The new website layout makes it easier for users to find information.,
723,leak,v.,Water started to leak from the ceiling after the heavy rain.,
724,leak,n.,The leak in the pipe caused serious damage to the kitchen floor.,
725,leap,v.,She managed to leap over the fence to escape.,
726,leap,n.,Taking a new job in a different country is a big leap in one's career.,
727,legacy,n.,Her grandfather's legacy of kindness continues to inspire the family.,
728,legendary,adj.,The athlete became legendary for his record-breaking achievements.,
729,legislation,n.,New legislation was passed to improve workplace safety.,
730,legislative,adj.,The legislative process involves debating and voting on proposed laws.,
731,legislature,n.,The state legislature passed a new law to improve public safety.,
732,legitimate,adj.,He provided a legitimate reason for his absence from work.,
733,lengthy,adj.,The professor gave a lengthy explanation about the topic.,
734,lesbian,adj.,She openly identified as a lesbian and advocated for their rights.,
735,lesser,adj.,He chose the lesser of two evils in the difficult situation.,
736,lethal,adj.,The scientist warned that the chemical could be lethal if inhaled.,
737,liable,adj.,"If you cause an accident, you may be liable for damages.",
738,liberal,adj.,She holds liberal views on social and political issues.,
739,liberal,n.,The liberal argued for equal rights and more government support for education.,
740,liberation,n.,The country celebrated its liberation from colonial rule.,
741,liberty,n.,Freedom of speech is a fundamental liberty in democratic societies.,
742,license,v.,The restaurant was licensed to serve alcohol.,
743,lifelong,adj.,She has been a lifelong supporter of environmental causes.,
744,likelihood,n.,The likelihood of rain tomorrow is very high according to the forecast.,
745,limb,n.,"After the accident, he lost the ability to move his right limb.",
746,linear,adj.,The relationship between temperature and pressure is not always linear.,
747,line-up,n.,The festival's line-up includes several popular bands.,
748,linger,v.,"Even after the storm passed, dark clouds lingered in the sky.",
749,listing,n.,The real estate listing included pictures and details of the house.,
750,literacy,n.,The government launched a program to improve adult literacy rates.,
751,liver,n.,Excessive alcohol consumption can damage the liver.,
752,lobby,n.,The hotel lobby was beautifully decorated for the holidays.,
753,log,n.,He wrote all his travel experiences in a personal log.,
754,log,v.,Please log your work hours on the company's online system.,
755,logic,n.,His argument lacked clear logic and was difficult to follow.,
756,long-standing,adj.,They have a long-standing business relationship built on trust.,
757,long-time,adj.,She has been a long-time supporter of the arts.,
758,loom,v.,A major economic crisis looms on the horizon.,
759,loop,n.,The roller coaster had a large loop that made riders scream.,
760,loyalty,n.,The dog's loyalty to its owner was truly remarkable.,
761,machinery,n.,The factory had new machinery to improve production speed.,
762,magical,adj.,The sunset over the ocean was a truly magical sight.,
763,magistrate,n.,The magistrate ruled on the case yesterday.,
764,magnetic,adj.,"Some materials, like iron, have strong magnetic properties.",
765,magnitude,n.,The magnitude of the earthquake was measured at 7.2.,
766,mainland,n.,They took a boat from the island to the mainland.,
767,mainstream,n.,Her ideas were once radical but are now part of the mainstream.,
768,mainstream,adj.,The idea has become mainstream in recent years.,
769,maintenance,n.,Regular maintenance of your car can prevent major issues.,
770,mandate,n.,The government issued a mandate requiring masks in public places.,
771,mandatory,adj.,Attendance at the meeting is mandatory for all employees.,
772,manifest,v.,Her happiness manifested in the bright smile on her face.,
773,manipulate,v.,He tried to manipulate the data to make his results look better.,
774,manipulation,n.,The stock market crash was caused by financial manipulation.,
775,manuscript,n.,The author submitted his manuscript to the publisher for review.,
776,march,n.,The peaceful march for human rights gathered thousands of people.,
777,march,v.,The soldiers marched in perfect formation during the parade.,
778,marginal,adj.,The project had only a marginal impact on the overall success.,
779,marine,adj.,Marine life is greatly affected by ocean pollution.,
780,marketplace,n.,They bought fresh vegetables at the local marketplace.,
781,mask,n.,Everyone was required to wear a mask during the flu outbreak.,
782,massacre,n.,The historical record describes a tragic massacre of innocent civilians during the war.,
783,mathematical,adj.,She applied a mathematical approach to solve the complex problem.,
784,mature,adj.,He reached a mature understanding of the situation after years of experience.,
785,mature,v.,"The tree will mature in about ten years, growing tall and strong.",
786,maximize,v.,To maximize profits the company expanded its product line.,
787,meaningful,adj.,He wanted to have a meaningful conversation about their future together.," they had to retreat to the safety of their homes."""
788,meantime,n.,"We will finish the construction by next month; in the meantime, you can visit our other locations.",
789,medieval,adj.,He studied medieval history to understand the events of the past.,
790,meditation,n.,She practices meditation every morning to clear her mind and relax.,
791,melody,n.,The soft melody of the piano echoed throughout the room.,
792,memo,n.,He wrote a quick memo to inform the team of the upcoming meeting.,
793,memoir,n.,Her memoir chronicled the challenges she faced while growing up in a small town.,
794,memorial,n.,The memorial honors those who lost their lives during the war.,
795,mentor,n.,She was fortunate to have a mentor who guided her throughout her career.,
796,merchant,n.,The merchant sold handmade jewelry at the local market.,
797,mercy,n.,They showed mercy by offering help to the struggling community.,
798,mere,adj.,"He is a mere child, still learning about the world around him.",
799,merely,adv.,She was merely stating her opinion and did not intend to upset anyone.,
800,merge,v.,The two companies decided to merge in order to strengthen their market position.,
801,merger,n.,The merger of the two organizations created a more powerful entity.,
802,merit,n.,He was promoted due to his merit and hard work at the company.,
803,methodology,n.,The researcher used a qualitative methodology to collect and analyze the data.,
804,midst,n.,He was in the midst of preparing dinner when the phone rang.,
805,migration,n.,The migration of birds to warmer climates is a natural phenomenon every year.,
806,militant,n.,"The militant protested in favor of their cause, demanding immediate change.",
807,militant,adj.,The government took action against the militant groups that threatened national security.,
808,militia,n.,They formed a militia to protect their town during the war.,
809,mill,n.,The old mill by the river is now a museum showcasing local history.,
810,minimal,adj.,Her minimalist approach to design resulted in a clean and simple layout.,
811,minimize,v.,"To minimize waste, the company started recycling all its materials.",
812,mining,n.,The mining industry has been an essential part of the local economy for decades.,
813,ministry,n.,He worked in the ministry of health to improve public health policies.,
814,minute,n.,The meeting lasted exactly sixty minutes.,
815,miracle,n.,It was a miracle that they survived the accident without serious injuries.,
816,misery,n.,The refugees endured great misery as they fled from the war-torn country.,
817,misleading,adj.,The advertisement was considered misleading because it exaggerated the product's benefits.,
818,missile,n.,The missile was launched as part of a military test to showcase new technology.,
819,mob,n.,"The mob gathered outside the city hall, protesting the new legislation.",
820,mobility,n.,The wheelchair provided greater mobility for the disabled individuals at the event.,
821,mobilize,v.,The charity aims to mobilize volunteers to help with the cleanup efforts after the storm.,
822,moderate,adj.,"The weather is expected to be moderate, with neither extreme heat nor cold.",
823,modification,n.,He made a modification to the original design to improve its functionality.,
824,momentum,n.,"After a slow start, the team gained momentum and won the game in the final minutes.",
825,monk,n.,"The monk spent years in solitude, reflecting on his spiritual journey.",
826,monopoly,n.,"They had a monopoly on the market, controlling most of the sales in the region.",
827,morality,n.,The discussion focused on the importance of morality in decision-making processes.,
828,motive,n.,The detective was trying to uncover the motive behind the crime.,
829,motorist,n.,The motorist was fined for speeding.,
830,municipal,adj.,"The city plans to invest in municipal infrastructure, improving roads and public transportation.",
831,mutual,adj.,They shared a mutual respect for each other's opinions and work.,
832,namely,adv.,"Three countries, namely Japan, South Korea, and China, signed the trade agreement.",
833,nationwide,adj.,The campaign was a nationwide effort to raise awareness about climate change.,
834,naval,adj.,The naval forces conducted a large-scale exercise in the Pacific Ocean.,
835,neglect,v.,He was accused of neglecting his responsibilities as the team leader.,
836,neglect,n.,The neglect of basic safety procedures led to the accident.,
837,neighboring,adj.,The fire spread to the neighbouring building.,
838,nest,n.,The bird built a nest high in the tree to keep its eggs safe.,
839,net,adj.,"He made a net profit of $50,000 after deducting expenses.",
840,newsletter,n.,Subscribers receive the monthly newsletter with updates on company events and news.,
841,niche,n.,"They found a niche in the market for eco-friendly, sustainable products.",
842,noble,adj.,He performed a noble act by donating his savings to charity.,
843,nod,v.,She gave a nod of approval after hearing the proposal.,
844,nominate,v.,She was nominated for the award due to her outstanding work in education.,
845,nomination,n.,The nomination process for the prestigious award is quite rigorous.,
846,nominee,n.,The nominee for the best actor award had delivered an incredible performance.,
847,nonetheless,adv.,"He was tired; nonetheless, he continued working until the job was done.",
848,non-profit,adj.,The non-profit organization focuses on environmental conservation.,
849,nonsense,n.,"What he said was pure nonsense, with no factual basis at all.",
850,noon,n.,"The meeting will begin at noon, right after lunch.",
851,notable,adj.,She made a notable contribution to the field of renewable energy.,
852,notably,adv.,"Many artists, notably Picasso, have contributed to modern art.",
853,notify,v.,Please notify me as soon as you receive the package.,
854,notorious,adj.,The notorious thief was captured after a long investigation.,
855,novel,adj.,The novel approach to teaching language has proven to be very effective.,
856,nursery,n.,"The children played in the nursery, surrounded by colorful toys and books.",
857,objection,n.,He raised an objection to the proposed changes to the company policy.,
858,oblige,v.,We are obliged to follow the rules set by the organization to ensure fairness.,
859,obsess,v.,"She began to obsess over every detail of her project, making sure nothing was overlooked.",
860,obsession,n.,Her obsession with cleanliness made her spend hours organizing the house.,
861,occasional,adj.,They enjoy occasional trips to the countryside for relaxation.,
862,occurrence,n.,The sudden storm was a rare occurrence in this region.,
863,odds,n.,"Against all odds, the team won the championship after a challenging season.",
864,offering,n.,Their new product offering is expected to revolutionize the market.,
865,offspring,n.,"Parents always want the best for their offspring, ensuring their happiness and well-being.",
866,operational,adj.,The new system is now fully operational and ready to handle customer inquiries.,
867,opt,v.,You can opt to receive email notifications for any updates on your account.,
868,optical,adj.,They studied the optical properties of the material to understand its behavior under different light conditions.,
869,optimism,n.,"Her optimism about the future kept the team motivated, even during tough times.",
870,oral,adj.,He gave an oral presentation on the research findings during the conference.,
871,organizational,adj.,The organizational structure of the company was revamped to improve efficiency and communication.,
872,orientation,n.,"At the beginning of the semester, new students are given an orientation to familiarize them with campus life.",
873,originate,v.,The idea for the project originated from a discussion between the two teams.,
874,outbreak,n.,"There was an outbreak of flu in the school, leading to many students staying home.",
875,outing,n.,We planned an outing to the beach to celebrate the end of the semester.,
876,outlet,n.,She found a creative outlet for her emotions through painting.,
877,outlook,n.,"Despite the challenges, his outlook on life remained positive and hopeful.",
878,outrage,n.,There was widespread outrage after the company was found guilty of environmental violations.,
879,outrage,v.,The community was outraged by the decision to close the local library.,
880,outsider,n.,He was considered an outsider because he had just moved to the town and didn't know anyone.,
881,overlook,v.,We should never overlook the importance of small acts of kindness.,
882,overly,adv.,"She was overly concerned about the details, which delayed the project.",
883,oversee,v.,He was hired to oversee the construction project and ensure everything was done on schedule.,
884,overturn,v.,The court's decision could potentially overturn the previous ruling.,
885,overwhelm,v.,"The news of the disaster overwhelmed the small town, causing panic among residents.",
886,overwhelming,adj.,She felt an overwhelming sense of joy when she received the good news.,
887,pad,n.,He placed a pad under the vase to protect the table from scratches.,
888,parameter,n.,We need to define the parameters of the experiment before we begin.,
889,parental,adj.,"Parental involvement is crucial in a child's education, as it helps them stay motivated.",
890,parish,n.,The local parish is organizing a community event.,
891,parliamentary,adj.,The parliamentary debate was broadcast live on TV.,
892,partial,adj.,"The report gave only a partial view of the situation, leaving out important details.",
893,partially,adv.,"The room was partially furnished, with only a sofa and a coffee table.",
894,passing,n.,The passing of the law was a major achievement for the reform movement.,
895,passive,adj.,"He took a passive role in the discussion, letting others make the decisions.",
896,pastor,n.,The pastor gave a moving sermon about forgiveness and compassion.,
897,patch,n.,He sewed a patch onto his jacket to cover the tear.,
898,patent,n.,He applied for a patent for his invention to protect his intellectual property.,
899,pathway,n.,The hiking pathway through the forest was scenic and peaceful.,
900,patrol,n.,"The police officers were on patrol, ensuring the neighborhood remained safe.",
901,patrol,v.,They patrol the area every night to prevent any crimes from occurring.,
902,patron,n.,The museum welcomed new patrons with a special event to showcase its latest exhibits.,
903,peak,n.,"They reached the peak of the mountain just as the sun was setting, providing a breathtaking view.",
904,peasant,n.,The peasants worked hard in the fields to harvest crops for the season.,
905,peculiar,adj.,"There was something peculiar about the way he looked at the painting, as if it had a deeper meaning.",
906,persist,v.,"Despite many setbacks, she decided to persist in her efforts to start the business.",
907,persistent,adj.,The persistent noise from the construction site made it difficult to concentrate.,
908,personnel,n.,The personnel department is responsible for managing the company's employees and their benefits.,
909,petition,n.,They started a petition to demand better working conditions for employees.,
910,philosopher,n.,He was a renowned philosopher whose ideas influenced modern ethics and logic.,
911,philosophical,adj.,"She approached the problem with a philosophical mindset, considering all possible perspectives.",
912,physician,n.,The physician advised her to rest and drink plenty of fluids.,
913,pioneer,n.,"As a pioneer in the field of technology, he helped develop innovative solutions that shaped the industry.",
914,pipeline,n.,They are working on a new pipeline to transport water from the reservoir to the city.,
915,pirate,n.,"The pirate ship sailed through the foggy waters, looking for its next target.",
916,pit,n.,The workers dug a large pit to install the foundation for the new building.,
917,plea,n.,He made a heartfelt plea for the community to come together and support the cause.,
918,plead,v.,She decided to plead guilty to the charges in order to receive a lesser sentence.,
919,pledge,v.,He pledged to donate a significant amount of money to the charity every year.,
920,pledge,n.,The company made a pledge to reduce its carbon emissions over the next five years.,
921,plug,v.,He used a plug to connect his phone to the charger and started the charging process.,
922,plug,n.,He inserted the plug into the socket to turn on the appliance.,
923,plunge,v.,"She decided to plunge into the cold water, feeling the rush of excitement.",
924,pole,n.,They used a long pole to measure the depth of the river.,
925,poll,n.,The poll revealed that most people preferred the new policy.,
926,pond,n.,"They sat by the pond, enjoying the peaceful sound of the water.",
927,pop,v.,"The balloon suddenly popped, startling everyone in the room.",
928,portfolio,n.,She updated her portfolio with her latest design projects.,
929,portray,v.,The actor was able to portray the character's emotions convincingly.,
930,postpone,v.,The meeting was postponed due to unforeseen circumstances.,
931,post-war,adj.,The city was rebuilt in the post-war era.,
932,practitioner,n.,The practitioner carefully examined the patient's symptoms before suggesting a treatment.,
933,preach,v.,He often preaches about the importance of kindness and understanding.,
934,precedent,n.,The court's ruling set a new precedent for future cases.,
935,precision,n.,The engineer's work was characterized by precision and attention to detail.,
936,predator,n.,"The lion is known as a predator, hunting for its prey in the wild.",
937,predecessor,n.,The new manager was praised for continuing the work of his predecessor.,
938,predominantly,adv.,"The neighborhood is predominantly residential, with a few commercial establishments.",
939,pregnancy,n.,Her pregnancy was carefully monitored by her doctor to ensure the health of the baby.,
940,prejudice,n.,He was deeply affected by the prejudice he faced because of his background.,
941,preliminary,adj.,"The preliminary results of the experiment were promising, but further testing was needed.",
942,premier,n.,The premier of the country addressed the nation on national television.,
943,premise,n.,Their argument was based on the premise that all people are equal.,
944,premium,n.,The insurance policy offered a premium service for an additional cost.,
945,prescribe,v.,The doctor prescribed medication to treat the infection.,
946,prescription,n.,He filled his prescription at the pharmacy after seeing the doctor.,
947,presently,adv.,"Presently, we are focusing on improving customer service.",
948,preservation,n.,The museum is dedicated to the preservation of historical artifacts.,
949,preside,v.,He was chosen to preside over the committee meeting.,
950,presidency,n.,The presidency of the university was passed down to a new leader.,
951,presidential,adj.,The presidential campaign is heating up with debates and rallies.,
952,prestigious,adj.,"She graduated from a prestigious university, known for its excellent programs.",
953,presumably,adv.,"He was presumably at home, as no one had heard from him all day.",
954,presume,v.,"We can presume that the event will take place as scheduled, but we should confirm.",
955,prevail,v.,The underdog team managed to prevail against all odds and won the championship.,
956,prevalence,n.,The prevalence of smartphones has changed the way people communicate.,
957,prevention,n.,Prevention is better than cure when it comes to many health conditions.,
958,prey,n.,The owl silently hunted its prey in the dark forest.,
959,principal,n.,The principal of the school gave a welcoming speech at the assembly.,
960,privatization,n.,The privatization of state-owned companies was a significant move towards market liberalization.,
961,privilege,n.,He considered it a privilege to work alongside such talented colleagues.,
962,probe,n.,The probe sent by the space agency collected valuable data from the planet.,
963,probe,v.,"The detective probed into the case, looking for any hidden clues.",
964,problematic,adj.,Her behavior was problematic and often led to misunderstandings with others.,
965,proceedings,n.,The proceedings of the conference will be published next month.,
966,proceeds,n.,The proceeds from the charity event were donated to support local schools.,
967,processing,n.,The processing of the order took longer than expected due to high demand.,
968,processor,n.,The processor in the computer was upgraded to a faster model.,
969,proclaim,v.,The leader proclaimed a new era of peace and prosperity for the country.,
970,productive,adj.,"She had a highly productive day, finishing all her tasks ahead of schedule.",
971,productivity,n.,Improving workplace productivity requires both motivation and the right tools.,
972,profitable,adj.,The company's investment in renewable energy proved to be highly profitable over time.,
973,profound,adj.,Her profound understanding of the topic helped the team develop innovative solutions.,
974,projection,n.,The projection for next quarter's revenue suggests a significant increase in profits.,
975,prominent,adj.,"He is a prominent figure in the field of artificial intelligence, known for his groundbreaking research.",
